id,size,storage,complexity,codec,level,compress,decompress,dc_no_cache,ratio
524,mid,ephemeral,linspace,tables_blosc_zlib,5,0.10796284675598145,0.02011704444885254,0.03239790598551432,36.143460351929406
525,mid,esb,neuronal,tables,0,0.1565109888712565,0.0044710636138916016,0.03891913096110026,0.9992406892955488
526,mid,ephemeral,poisson,tables_blosc_blosclz,5,0.15001447995503744,0.0307311216990153,0.04243779182434082,15.635639217931741
527,small,ephemeral,linspace,tables_blosc_zlib,9,0.04145793914794922,0.0034736156463623046,0.007608795166015625,31.542760881990194
528,mid,ephemeral,neuronal,bloscpack_blosclz,5,0.0839063326517741,0.007246573766072591,0.029281218846638996,1.738274460357533
529,large,ephemeral,neuronal,tables_blosc_zlib,9,12.300503969192505,0.47278181711832684,0.5008039474487305,2.5574949536733063
530,mid,esb,poisson,tables_zlib,7,0.18019700050354004,0.03443106015523275,0.047130982081095375,15.238848180626483
531,mid,esb,poisson,tables_blosc_blosclz,9,0.16522892316182455,0.03035418192545573,0.04284993807474772,15.611824523006604
532,large,esb,poisson,tables_blosc_zlib,3,0.801828940709432,0.22712310155232748,0.23883477846781412,14.758451151941353
533,large,ephemeral,arange,bloscpack_blosclz,7,0.07643389701843262,0.07046222686767578,0.0732115904490153,113.58944805054121
534,large,esb,arange,bloscpack_lz4hc,3,0.3386881351470947,0.07404875755310059,0.07674487431844075,114.48236105894786
535,mid,esb,neuronal,bloscpack_lz4,5,0.10739684104919434,0.004423459370930989,0.0237581729888916,1.6353085003834158
